Home_ID,City,Energy_Consumption_kWh,Occupancy,Temperature_C,Humidity_%,HVAC_Usage_kWh,Kitchen_Usage_kWh,Electronics_Usage_kWh,Log_Energy_Consumption
Home_8,Lucknow,-0.3017776450058029,1,25.71,46.1,0.21808595386055998,0.42123807301654215,-0.43869323823538736,1.420695787837223
Home_9,Hyderabad,1.0187111686916528,1,27.73,45.42,-0.9230147915398949,1.6060442037587392,-0.7078879967635298,1.7404661748405046
Home_4,Lucknow,-1.0382040987986147,0,16.2,57.5,-2.418250251030146,-1.4547049673252692,-0.8424853760276013,1.184789984909162
Home_5,Ahmedabad,-2.2825108655519872,0,23.3,58.46,2.244523484485505,0.050986157159605694,0.13334562363691507,0.5877866649021191
Home_10,Kolkata,-0.9027693486757988,0,21.18,84.52,1.2608159453471823,-1.306604200982495,1.4456700714616098,1.2325602611778486
Home_8,Mumbai,-1.664589818116639,1,24.12,62.88,2.1068044290061403,0.5693388393593168,0.30159234771700494,0.928219302739429
Home_2,Chennai,0.2061026679547567,1,27.16,55.26,-1.769003275198853,0.8408569109877371,-1.5154722723479574,1.556037135706985
Home_2,Lucknow,-1.579943099289879,1,24.44,44.79,-0.3918127204052003,-1.4300215062681403,-1.313576203451851,0.9669838461896731
Home_4,Lucknow,-1.1228508176253749,0,20.04,64.69,1.1034227390850508,1.1370584436732865,0.16699496845293338,1.1537315878891892
Home_7,Bangalore,0.7732356840940489,1,31.2,53.09,1.6542989610025118,-0.22053191446881448,1.1428259681174497,1.6882490928583902
Home_5,Bangalore,0.07066791783194096,1,23.52,28.66,1.0837485883022842,-0.14648153129742672,-1.1789788241877797,1.5216989981260935
Home_10,Lucknow,-1.1821035208041069,1,20.64,55.45,0.0016702952501285405,-0.8623019019541711,0.604436451061165,1.1314021114911006
Home_1,Ahmedabad,-0.24252494182707127,1,25.48,85.19,0.13938935072949424,-0.2698988365830726,-0.2704465141552982,1.43746264769429
Home_10,Hyderabad,-0.9789513956198833,1,28.54,58.43,-1.985418933809284,1.4579434374159643,0.4698390717970933,1.205970806988609
Home_8,Mumbai,-0.725011239139603,1,21.34,23.8,1.8313663180474093,0.9395907552162532,0.7053844855092183,1.2919836816486494
Home_5,Lucknow,0.35000208996024845,0,25.63,65.06,-0.17539706179476963,0.2237703845595097,-0.06855044525919157,1.5912739418064292
Home_4,Ahmedabad,-0.7165465672569271,0,20.17,57.07,-1.5132393150228889,0.2237703845595097,-0.7751866863955655,1.2947271675944
Home_4,Mumbai,-1.4360436772843868,1,9.906250000000004,49.06,-0.37213856962243447,-1.4793884283823984,-2.020212444588225,1.0296194171811581
Home_5,Lucknow,0.29921405866419276,0,17.11,39.88,1.1034227390850508,0.3471876898451552,0.09969627882089754,1.5789787049493917
Home_7,Pune,0.8663470748034843,0,25.01,42.68,-0.9820372438881944,1.2851592100160611,1.782163519621788,1.7083778602890038
Home_1,Hyderabad,0.8578824029208083,1,24.5,35.06,0.2771084062088591,0.3471876898451552,1.3110726921975389,1.706564623164823
Home_9,Ahmedabad,-0.6149705046648151,0,31.22,64.37,0.6115689695158896,-0.34394921975445997,0.7726831751412541,1.3270750014599193
Home_3,Mumbai,-0.09862551982157891,1,22.72,72.4,0.5722206679503563,0.4459215340736714,0.6717351406932,1.4770487243883548
Home_4,Delhi,0.6293362620885565,0,20.44,60.02,0.23776010464332664,0.19908692350238044,-1.7510176860600826,1.6563214983329508
Home_5,Lucknow,-0.335636332536507,0,24.54,65.94,2.067456127440608,0.14972000138812191,-0.8761347208436189,1.410986973710262
Home_5,Pune,-2.76076482692318,1,27.48,49.8,-0.9623630931054281,-1.2572372788682369,-0.47234258305140525,0.21107097007994113
Home_9,Ahmedabad,1.0779638718703843,1,24.61,64.12,0.021344446032895176,-0.22053191446881448,0.8399818647732898,1.7526720805200082
Home_6,Bangalore,0.45157815255236106,1,20.49,72.64,0.296782556991625,0.07566961821673496,-0.7078879967635298,1.6154199841116479
Home_8,Hyderabad,-0.4964650983073509,1,27.99,52.72,0.23776010464332664,0.42123807301654215,-0.3713945486033515,1.3635373739972745
Home_5,Kolkata,1.4419447628254525,0,19.82,77.69,-1.7099808228505533,-0.14648153129742672,0.06604693400488004,1.824549292051046
Home_4,Jaipur,0.7563063403286964,1,25.9,54.4,-0.05735215709817059,-0.9116688240684292,-1.8519657205081357,1.6845453849209058
Home_3,Ahmedabad,0.40925479313898067,1,25.06,57.51,-0.5098576251017993,-0.39331614186871766,-0.7751866863955655,1.6054298910365616
Home_4,Lucknow,-1.1990328645694588,1,26.18,57.66,-0.03767800631540473,0.4459215340736714,-1.1116801345557439,1.1249295969854831
Home_5,Chennai,-0.8011932860836871,1,24.26,80.45,0.17873765229502672,1.778828431158643,-0.7078879967635298,1.2669476034873244
Home_1,Bangalore,0.35000208996024845,1,22.15,49.5,0.1197151999467276,-0.12179807024029747,0.13334562363691507,1.5912739418064292
Home_1,Hyderabad,-0.725011239139603,1,14.63,63.82,0.17873765229502672,1.0383245994447694,-0.0012517556271557592,1.2919836816486494
Home_3,Lucknow,0.24842602736813646,1,13.63,45.42,-1.0017113946709606,-0.6648342134971379,1.4120207266455929,1.5665304114228238
Home_4,Lucknow,0.35846676184292436,1,19.44,61.82,0.21808595386055998,-1.6274891947251733,-0.2704465141552982,1.5933085305042167
Home_10,Delhi,0.9763878092782728,1,31.41,59.65,1.280490096129949,0.8161734499306078,0.8063325199572716,1.7316555451583497
Home_1,Chennai,1.0356405124570045,1,23.1,43.96,0.591894818733123,2.1490803470155795,0.7726831751412541,1.7439688053917064
Home_5,Kolkata,0.9594584655129204,0,32.17,63.73,1.4575574531748472,0.050986157159605694,-0.9097840656596368,1.728109442151599
Home_2,Hyderabad,-0.9027693486757988,1,18.52,58.22,0.4935240648192898,0.0016192350453479954,0.4361897269810758,1.2325602611778486
Home_7,Jaipur,0.15531463665870104,0,22.65,,-0.6672508313639309,0.3965546119594129,0.09969627882089754,1.5432981099295553
Home_6,Ahmedabad,-0.9958807393852351,1,36.54,53.7,-0.9230147915398949,0.29782076773089666,-1.6164203067960112,1.199964782928397
Home_8,Delhi,1.2980453408199608,1,20.61,39.21,0.1590635015122601,-0.7142011356113964,-0.20314782452326277,1.7967470107390942
Home_2,Bangalore,-0.6234351765474914,1,28.04,68.49,0.9460295328229194,0.6927561446449624,-0.0012517556271557592,1.324418957401803
Home_8,Pune,0.3330727461948965,1,16.99,61.39,0.6902655726469547,-1.5781222726109148,0.6380857958771825,1.5871923034867808
Home_10,Bangalore,-0.03937281664284667,1,24.26,59.23,1.4575574531748472,1.4332599763588352,0.53713776142913,1.4929040961781488
Home_1,Mumbai,-0.7504052547876312,0,29.62,36.53,-0.529531775884566,0.8408569109877371,0.6380857958771825,1.2837077723447896
Home_6,Delhi,-2.087823412250439,1,25.69,60.76,1.4772316039576137,0.050986157159605694,1.1428259681174497,0.7080357930536961
Home_7,Chennai,0.7901650278594001,1,29.94,46.92,-1.0213855454537273,0.0016192350453479954,-0.8424853760276013,1.691939133945844
Home_1,Chennai,-1.1228508176253749,0,14.71,,0.06069274759842846,0.6680726835878339,-1.3808748930838863,1.1537315878891892
Home_9,Lucknow,-0.428747723245943,1,27.65,76.48,-0.47050932353626607,0.9642742162733825,0.26794300290098666,1.3837912309017721
Home_1,Jaipur,-1.689983833764667,1,17.49,33.3,1.910062921178475,1.0383245994447694,-0.20314782452326277,0.9162907318741551
Home_1,Delhi,-0.6572938640781948,1,14.9,62.9,1.5756023578714453,-0.023064226011781264,1.3447220370135564,1.3137236682850553
Home_4,Chennai,-0.530323785838055,0,23.67,34.74,-0.5688800774500985,2.0503465027870633,-1.044381444923708,1.3532545070416904
Home_9,Bangalore,0.7478416684460204,0,27.29,82.08,-0.7852957360605299,2.6674330292152906,-0.9770827552916725,1.682688374173693
Home_4,Lucknow,-0.8181226298490394,1,23.98,69.09,0.6705914218641887,1.5073103595302229,-0.16949847970724488,1.2612978709452054
Home_7,Lucknow,1.5689148410655924,1,32.81,70.89,-0.2934419664913679,-1.133819973582591,-0.3040958589713165,1.8484548129046001
Home_1,Mumbai,-0.20866625429636715,1,15.85,75.1,,-0.8376184408970418,-0.6069399623154764,1.4469189829363254
Home_5,Jaipur,0.08759726159729285,1,25.89,35.44,0.4541757632537573,1.6554111258729978,1.176475312933468,1.5260563034950492
Home_1,Pune,,1,13.68,79.4,-0.5885542282328651,0.5693388393593168,0.5034884166131116,
Home_6,Hyderabad,1.094893215635737,1,18.95,50.21,0.0016702952501285405,-1.183186895696849,0.4698390717970933,1.7561322915849038
Home_3,Hyderabad,0.5446895432617964,1,23.36,54.67,-0.7656215852777633,0.3718711509022844,-0.2367971693392807,1.6370530794670737
Home_9,Pune,,0,26.99,59.9,0.5722206679503563,-1.2819207399253656,-0.03490110044317366,
Home_8,Jaipur,-1.537619739876499,1,26.97,57.78,-0.27376781570860126,0.5446553783021876,-0.9097840656596368,0.9858167945227652
Home_3,Pune,0.3923254493736288,0,,45.53,2.7757255556201996,0.42123807301654215,1.748514174805771,1.601405740736836
Home_7,Bangalore,-1.0382040987986147,1,14.54,69.8,0.1590635015122601,-0.8376184408970418,0.4698390717970933,1.184789984909162
Home_4,Delhi,-0.183272238648339,1,22.86,79.79,0.43450161247099145,1.1370584436732865,1.2774233473815213,1.4539530095937052
Home_10,Chennai,2.1360478572048844,1,26.96,29.53,1.5165799055231461,1.4332599763588352,1.3447220370135564,1.9487632180377197
Home_2,Mumbai,-0.5387884577207313,1,31.59,68.51,,0.6187057614735754,-0.03490110044317366,1.3506671834767394
Home_1,Delhi,0.7139829809153166,1,12.53,,0.8279846281263195,-0.39331614186871766,-0.10219979007520907,1.6752256529721035
Home_6,Hyderabad,0.07066791783194096,1,29.29,43.31,0.37547916012269156,1.2111088268446735,-0.43869323823538736,1.5216989981260935
Home_2,Chennai,-0.5557178014860832,1,24.17,49.28,-0.21474536336030212,-0.5414169082114928,-0.3040958589713165,1.3454723665996355
Home_9,Bangalore,0.7986296997420768,1,23.34,89.71,0.8870070804746194,-0.640150752440009,-0.2704465141552982,1.6937790608678513
Home_8,Bangalore,1.5858441848309448,0,31.42,58.36,-0.9426889423226614,0.3471876898451552,-0.8761347208436189,1.851599469584072
Home_7,Pune,-1.673054489999315,1,25.06,22.82,-0.45083517275349944,-0.22053191446881448,-1.1453294793717619,0.9242589015233319
Home_4,Lucknow,0.2230320117201086,0,26.81,36.89,-0.9230147915398949,0.07566961821673496,0.26794300290098666,1.5602476682433286
Home_3,Jaipur,0.4346488087870085,0,32.84,50.26,-0.23441951414306877,1.9516126585585472,-1.5154722723479574,1.6114359150967734
Home_6,Jaipur,0.21456733983743267,0,27.21,51.88,0.788636326560787,-0.4426830639829762,1.176475312933468,1.55814461804655
Home_9,Delhi,0.7986296997420768,1,25.87,66.18,-0.41148687118796695,0.4952884561879299,-0.16949847970724488,1.6937790608678513
Home_10,Hyderabad,0.12145594912799665,1,23.22,,0.6705914218641887,-0.8869853630112999,0.09969627882089754,1.534714366238164
Home_2,Chennai,2.758201240581571,1,32.68,84.52,0.3164567077743916,-1.602805733668044,0.4361897269810758,2.048337796628502
Home_7,Chennai,1.3319040283506647,1,28.45,45.3,0.6312431202986563,0.19908692350238044,1.5802674507256813,1.803358605071407
Home_10,Lucknow,1.0356405124570045,0,27.3,65.28,0.06069274759842846,-0.14648153129742672,1.4120207266455929,1.7439688053917064
Home_1,Jaipur,1.1710752625798204,1,22.18,56.11,0.47384991403652393,-1.0104026682969454,-0.3713945486033515,1.7715567619105355
Home_3,Hyderabad,-0.6065058327821391,1,29.35,89.12,-0.72627328371223,1.0136411383876411,0.36889103734904,1.3297240096314962
Home_6,Mumbai,-2.096288084133115,1,28.68,86.37,0.6115689695158896,1.9269291975014178,0.9409298992213432,0.7030975114131134
Home_7,Pune,1.1710752625798204,0,20.91,50.87,-0.6869249821466975,0.914907294159124,1.5802674507256813,1.7715567619105355
Home_4,Ahmedabad,-0.030908144760171334,1,20.47,70.53,-0.4311610219707336,-0.14648153129742672,-1.0780307897397259,1.4951487660319727
Home_1,Jaipur,0.31614340242954464,0,20.06,38.91,-1.946070632243751,0.3471876898451552,1.075527278485414,1.5830939370944985
Home_9,Kolkata,0.07066791783194096,0,21.65,73.93,-0.33279026805690115,-0.6895176745542672,0.16699496845293338,1.5216989981260935
Home_8,Mumbai,-0.38642436383256296,1,35.92,63.67,-1.8476998783299188,-0.12179807024029747,-0.13584913489122738,1.3962446919730587
Home_10,Pune,0.8832764185688368,0,32.57,49.49,-0.05735215709817059,0.4459215340736714,-0.47234258305140525,1.7119945007591924
Home_6,Delhi,0.3415374180775725,0,24.71,82.84,-0.5885542282328651,0.07566961821673496,1.3110726921975389,1.589235205116581
Home_2,Mumbai,-0.29331297312312726,1,25.78,56.35,-0.11637460944646973,0.29782076773089666,0.03239758918886175,1.423108334242607
Home_6,Delhi,1.5604501691829165,1,13.95,54.19,0.0803668983811951,-0.5661003692686216,1.2101246577494855,1.8468787684491346
Home_9,Delhi,0.3415374180775725,1,25.86,55.96,-0.7459474344949967,-1.4547049673252692,-0.2704465141552982,1.589235205116581
Home_4,Chennai,-0.8011932860836871,1,9.906250000000004,42.47,0.6902655726469547,0.8161734499306078,1.3783713818295746,1.2669476034873244
Home_8,Kolkata,0.8917410904515122,1,18.92,32.17,0.6705914218641887,0.9889576773305118,-0.03490110044317366,1.713797927758343
Home_2,Hyderabad,1.5350561535348886,1,20.62,89.55,2.2838717860510385,-1.3806545841538822,0.5034884166131116,1.8421356765531218
Home_1,Lucknow,0.17224398042405292,0,,57.42,0.1197151999467276,2.0503465027870633,-0.539641272683441,1.547562508716013
Home_6,Bangalore,-2.307904881200015,1,29.63,68.58,-0.7459474344949967,-0.24521537552594375,0.23429365808496838,0.5709795465857378
